,host_since,host_response_rate,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating
0,20090923.0,0.57,-33.86916827188995,151.22656222452252,1.0,0.0,1.0,1.0,65.0,0.0,0.0,1.0,0.0,2.0,180.0,177.0,92.0
1,20090514.0,0.97,-33.86515254975741,151.19189588780822,2.0,1.0,1.0,1.0,98.0,0.0,55.0,2.0,395.0,2.0,7.0,472.0,95.0
2,20091120.0,1.0,-33.80092902849084,151.2617221941787,6.0,3.0,3.0,3.0,471.0,900.0,100.0,6.0,40.0,5.0,22.0,1.0,100.0
3,20091130.0,1.0,-33.8907654734414,151.20044995288222,2.0,1.0,1.0,1.0,63.0,0.0,0.0,1.0,40.0,2.0,1125.0,173.0,89.0
4,20091130.0,1.0,-33.889667262858936,151.200896052567,1.0,2.0,1.0,1.0,39.0,0.0,0.0,1.0,0.0,2.0,1125.0,149.0,90.0
5,20091203.0,1.0,-33.8804548565453,151.2165408022156,2.0,1.0,1.0,1.0,111.0,0.0,0.0,1.0,10.0,2.0,21.0,277.0,88.0
6,20091219.0,1.0,-33.859071608754554,151.1727532312573,8.0,2.0,4.0,4.0,450.0,800.0,0.0,6.0,0.0,7.0,365.0,15.0,96.0
7,20100419.0,1.0,-33.88908693069203,151.25940396422786,2.0,1.0,1.0,1.0,65.0,0.0,25.0,1.0,15.0,1.0,60.0,40.0,94.0
8,20100422.0,1.0,-33.879956287537105,151.21552806307542,2.0,1.0,1.0,1.0,129.0,500.0,70.0,1.0,0.0,2.0,365.0,47.0,97.0
9,20100814.0,1.0,-33.88908663649135,151.27450580899102,11.0,3.0,5.0,7.0,700.0,1500.0,370.0,10.0,50.0,4.0,365.0,53.0,95.0
10,20100426.0,0.97,-33.89739307148375,151.2710287941477,4.0,1.0,2.0,3.0,190.0,500.0,150.0,4.0,0.0,2.0,300.0,12.0,94.0
11,20100426.0,0.97,-33.88963272639301,151.28355311559653,4.0,1.0,2.0,2.0,225.0,500.0,130.0,1.0,0.0,2.0,200.0,16.0,79.0
12,20120118.0,1.0,-33.891846057411946,151.27308432718854,2.0,1.0,1.0,1.0,129.0,200.0,60.0,2.0,50.0,4.0,90.0,119.0,95.0
13,20101106.0,1.0,-33.81926801850475,151.23652489827802,4.0,1.0,1.0,4.0,140.0,0.0,0.0,4.0,30.0,2.0,90.0,218.0,90.0
14,20101111.0,1.0,-33.90198845519567,151.1930471220522,9.0,3.5,4.0,6.0,380.0,300.0,80.0,6.0,40.0,5.0,345.0,6.0,93.0
15,20101206.0,1.0,-33.626121460942144,151.33151088583853,2.0,1.0,0.0,1.0,150.0,600.0,45.0,1.0,0.0,2.0,730.0,47.0,97.0
16,20101214.0,0.0,-33.88568973690269,151.2688648641491,4.0,1.0,2.0,2.0,111.0,0.0,100.0,4.0,30.0,4.0,14.0,11.0,89.0
17,20101217.0,1.0,-33.81078886501225,151.16072058940597,7.0,1.5,1.0,3.0,55.0,0.0,10.0,1.0,25.0,1.0,14.0,152.0,96.0
18,20101218.0,1.0,-33.90396448606918,151.1912367803082,2.0,1.0,1.0,1.0,75.0,0.0,20.0,1.0,0.0,2.0,14.0,81.0,93.0
19,20101219.0,0.0,-33.88327145959429,151.22724714449018,4.0,1.0,1.0,2.0,100.0,0.0,25.0,2.0,35.0,3.0,730.0,1.0,100.0
20,20101220.0,1.0,-33.87247559050169,151.22814315764802,2.0,1.0,1.0,1.0,75.0,800.0,120.0,1.0,100.0,7.0,365.0,15.0,78.0
21,20100707.0,1.0,-33.91499570251997,151.14029958382784,2.0,2.0,2.0,2.0,75.0,0.0,0.0,1.0,50.0,3.0,1125.0,22.0,96.0
22,20110103.0,1.0,-33.729904423584664,151.05138024963244,4.0,3.5,2.0,3.0,89.0,0.0,0.0,2.0,21.0,2.0,60.0,39.0,98.0
23,20110112.0,0.0,-33.72055285572637,151.2949557146962,2.0,1.0,1.0,1.0,90.0,0.0,0.0,2.0,35.0,5.0,1125.0,0.0,0.0
24,20110115.0,1.0,-33.90854179669832,151.2502971310841,2.0,1.0,1.0,1.0,50.0,0.0,0.0,1.0,10.0,3.0,120.0,61.0,94.0
25,20110120.0,1.0,-33.90225505279778,151.20236551291808,1.0,0.0,1.0,1.0,35.0,0.0,0.0,1.0,15.0,1.0,1.0,29.0,98.0
26,20101120.0,1.0,-33.90917476953069,151.25230730937378,4.0,1.0,2.0,2.0,210.0,500.0,300.0,4.0,30.0,2.0,300.0,1.0,100.0
27,20110210.0,1.0,-33.88671950380456,151.2665570900029,2.0,1.0,1.0,1.0,65.0,0.0,100.0,1.0,20.0,3.0,1125.0,8.0,95.0
28,20090514.0,0.97,-33.865854411080505,151.1923329525697,2.0,1.0,1.0,1.0,89.0,0.0,55.0,2.0,395.0,2.0,5.0,349.0,95.0
29,20110221.0,1.0,-33.96472086233717,151.2479669195311,3.0,1.0,1.0,1.0,120.0,0.0,0.0,2.0,30.0,1.0,60.0,176.0,98.0
30,20110302.0,1.0,-33.91800464360092,151.24371641119757,2.0,1.0,1.0,1.0,85.0,0.0,30.0,1.0,25.0,3.0,28.0,83.0,98.0
31,20110306.0,1.0,-33.873803247785375,151.22362069263562,6.0,2.5,3.0,3.0,330.0,0.0,70.0,1.0,0.0,2.0,365.0,249.0,89.0
32,20110307.0,1.0,-33.83096185311723,151.21532126153718,1.0,1.0,1.0,1.0,85.0,0.0,0.0,1.0,0.0,2.0,14.0,73.0,99.0
33,20110308.0,1.0,-33.90641713890561,151.26698594291383,4.0,1.0,2.0,4.0,295.0,1000.0,250.0,4.0,50.0,14.0,60.0,16.0,96.0
34,20110310.0,0.0,-33.829992138068306,151.21831092689268,5.0,2.0,2.0,2.0,400.0,500.0,100.0,4.0,50.0,6.0,21.0,6.0,100.0
