,price
20387,85.0
3522,69.0
20133,181.0
24967,127.0
10899,351.0
18171,94.0
12108,121.0
7103,280.0
9000,85.0
27546,50.0
21803,200.0
17342,35.0
15503,84.0
21058,115.0
29024,69.0
25725,120.0
6812,160.0
18599,400.0
5999,80.0
25959,109.0
14576,90.0
25794,65.0
14795,59.0
15429,150.0
24806,65.0
24375,220.0
11706,98.0
2423,351.0
10214,351.0
19154,150.0
5286,80.0
21503,500.0
23659,208.0
15879,146.0
8427,150.0
19606,65.0
21387,249.0
579,71.0
26731,61.0
18803,195.0
7110,84.0
15825,80.0
1180,129.0
12116,229.0
1044,421.0
9873,140.0
27908,369.0
11558,75.0
9621,63.0
14056,150.0
8505,150.0
27480,400.0
8329,315.0
22627,200.0
1543,471.0
21559,100.0
22718,111.0
828,550.0
4444,129.0
12539,102.0
2117,550.0
22623,111.0
16119,169.0
17680,42.0
24025,200.0
14984,120.0
23649,43.0
24211,51.0
27562,35.0
5654,98.0
17477,750.0
4084,150.0
17105,500.0
24185,111.0
27938,55.0
9914,150.0
8114,421.0
4916,61.0
22389,125.0
25587,200.0
29537,50.0
27065,155.0
11970,80.0
19024,129.0
19634,181.0
2319,156.0
26284,189.0
16851,98.0
25449,208.0
1993,500.0
2028,55.0
28796,36.0
4446,115.0
24092,102.0
22994,120.0
22333,53.0
30377,139.0
7809,150.0
1785,400.0
12703,289.0
11299,290.0
18998,111.0
24991,140.0
12537,111.0
23209,400.0
12696,100.0
8530,369.0
21892,400.0
8839,49.0
12156,42.0
19500,135.0
9948,108.0
22789,181.0
6936,290.0
9848,129.0
19683,88.0
1680,50.0
164,88.0
16045,150.0
27609,170.0
10888,301.0
1095,75.0
25328,125.0
1875,520.0
22098,200.0
7929,301.0
1333,140.0
4501,140.0
1947,266.0
15641,111.0
9866,280.0
6962,61.0
28612,175.0
10361,100.0
1975,90.0
1139,214.0
3895,75.0
10611,231.0
252,133.0
27246,120.0
20943,119.0
8418,195.0
5489,66.0
6871,400.0
3944,90.0
29840,178.0
6326,190.0
18991,107.0
14212,200.0
16173,181.0
18277,200.0
22172,70.0
25818,112.0
21627,186.0
24745,59.0
26483,301.0
17044,120.0
25199,210.0
2074,175.0
4477,50.0
12422,120.0
16795,58.0
8415,65.0
24687,266.0
21637,75.0
11437,301.0
28776,67.0
10536,181.0
25411,61.0
756,249.0
5646,50.0
21946,299.0
758,120.0
12173,100.0
17681,44.0
11245,136.0
20157,135.0
22687,90.0
17686,160.0
22643,61.0
20920,120.0
27247,901.0
26459,160.0
21494,351.0
24369,55.0
8617,70.0
10943,120.0
24618,65.0
23687,71.0
24171,50.0
22701,142.0
6062,61.0
8741,150.0
5116,140.0
12918,75.0
16122,55.0
9640,94.0
18375,299.0
24582,200.0
4616,85.0
29252,249.0
19050,67.0
17879,600.0
9554,15.0
5360,351.0
8440,181.0
11764,151.0
12745,35.0
16464,200.0
11179,301.0
10530,255.0
15452,74.0
22379,200.0
27235,89.0
25459,100.0
16890,55.0
25894,55.0
29454,231.0
5206,125.0
14276,252.0
11336,395.0
17705,150.0
24223,489.0
28396,75.0
15148,90.0
22624,200.0
17176,105.0
25339,50.0
4179,61.0
9577,160.0
13494,200.0
29038,120.0
3451,421.0
17189,71.0
14920,43.0
13067,400.0
5115,351.0
5288,200.0
10053,160.0
4153,160.0
26732,120.0
26439,93.0
22900,102.0
23747,90.0
20346,158.0
14956,80.0
12178,249.0
6049,351.0
15524,181.0
26269,94.0
13660,61.0
16521,164.0
9518,111.0
14788,67.0
14362,185.0
19222,351.0
2875,634.0
19286,164.0
25496,111.0
14985,97.0
14423,71.0
14540,150.0
11920,70.0
8481,54.0
6481,111.0
6826,181.0
2546,310.0
13925,90.0
8127,80.0
7969,70.0
30686,164.0
15154,90.0
24997,85.0
18704,140.0
27420,200.0
7451,214.0
1063,400.0
19896,98.0
30645,100.0
4965,249.0
18598,26.0
30440,30.0
15732,89.0
13588,290.0
16026,98.0
12553,94.0
1710,50.0
14217,249.0
28208,140.0
3946,500.0
2481,150.0
24325,51.0
21284,150.0
27840,135.0
11684,109.0
1097,290.0
24838,280.0
27971,198.0
23235,85.0
4482,200.0
7329,129.0
16770,260.0
19880,950.0
13310,150.0
6202,125.0
20412,100.0
19918,337.0
17256,61.0
27279,150.0
22012,195.0
8789,200.0
3101,75.0
18649,169.0
1747,36.0
980,249.0
18862,70.0
9017,185.0
11542,750.0
22973,174.0
5331,90.0
8116,243.0
30669,100.0
6053,85.0
25051,220.0
17475,200.0
28095,98.0
5346,65.0
30056,85.0
27894,140.0
5441,690.0
20117,90.0
5651,690.0
28011,140.0
7555,129.0
12420,142.0
13575,36.0
25690,301.0
1033,102.0
10405,190.0
20636,70.0
13699,75.0
6384,135.0
28239,80.0
29224,75.0
28782,98.0
25128,50.0
2964,125.0
4481,280.0
6075,700.0
28981,181.0
19230,301.0
3509,71.0
16307,35.0
20146,315.0
936,119.0
19443,61.0
11871,200.0
28458,120.0
30116,59.0
25638,67.0
